"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"311","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",1
"211","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",2
"171","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",3
"179","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",4
"410","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",5
"75","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",6
"324","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",7
"8","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",8
"9","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",9
"28","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",10
"370","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",11
"126","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",12
"321","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",13
"414","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",14
"310","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",15
"30","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",16
"272","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",17
"137","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",18
"307","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",19
"428","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",20
"240","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",21
"199","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",22
"166","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",23
"183","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",24
"347","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",25
"245","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",26
"394","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",27
"430","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",28
"436","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",29
"402","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",30
"110","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",31
"257","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",32
"425","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",33
"163","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",34
"234","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",35
"169","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",36
"25","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",37
"132","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",38
"20","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",39
"49","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",40
