"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"1238","c66","H1N2_T","H4N3_T","H2N4_T","H3N1_T","P(c66 | G=T)=1/576","H1N2_T, H4N3_T, H2N4_T, H3N1_T",1
"678","c359","H3N2_T","H4N4_T","H2N1_T","H1N3_T","P(c359 | G=T)=1/576","H3N2_T, H4N4_T, H2N1_T, H1N3_T",2
"662","c351","H3N2_T","H4N1_T","H2N3_T","H1N4_T","P(c351 | G=T)=1/576","H3N2_T, H4N1_T, H2N3_T, H1N4_T",3
"686","c360","H3N2_T","H4N4_T","H2N3_T","H1N1_T","P(c360 | G=T)=1/576","H3N2_T, H4N4_T, H2N3_T, H1N1_T",4
"1011","c496","H4N2_T","H3N1_T","H2N4_T","H1N3_T","P(c496 | G=T)=1/576","H4N2_T, H3N1_T, H2N4_T, H1N3_T",5
"714","c369","H3N3_T","H1N4_T","H2N1_T","H4N2_T","P(c369 | G=T)=1/576","H3N3_T, H1N4_T, H2N1_T, H4N2_T",6
"1223","c6","H1N1_T","H2N3_T","H3N4_T","H4N2_T","P(c6 | G=T)=1/576","H1N1_T, H2N3_T, H3N4_T, H4N2_T",7
"97","c134","H1N4_T","H4N1_T","H2N3_T","H3N2_T","P(c134 | G=T)=1/576","H1N4_T, H4N1_T, H2N3_T, H3N2_T",8
"755","c384","H3N3_T","H2N4_T","H4N2_T","H1N1_T","P(c384 | G=T)=1/576","H3N3_T, H2N4_T, H4N2_T, H1N1_T",9
"529","c297","H3N1_T","H1N4_T","H2N2_T","H4N3_T","P(c297 | G=T)=1/576","H3N1_T, H1N4_T, H2N2_T, H4N3_T",10
"792","c400","H3N4_T","H1N1_T","H4N3_T","H2N2_T","P(c400 | G=T)=1/576","H3N4_T, H1N1_T, H4N3_T, H2N2_T",11
"562","c314","H3N1_T","H4N2_T","H1N4_T","H2N3_T","P(c314 | G=T)=1/576","H3N1_T, H4N2_T, H1N4_T, H2N3_T",12
"179","c163","H2N1_T","H3N3_T","H4N2_T","H1N4_T","P(c163 | G=T)=1/576","H2N1_T, H3N3_T, H4N2_T, H1N4_T",13
"1091","c532","H4N3_T","H3N1_T","H2N4_T","H1N2_T","P(c532 | G=T)=1/576","H4N3_T, H3N1_T, H2N4_T, H1N2_T",14
"191","c169","H2N1_T","H4N2_T","H1N3_T","H3N4_T","P(c169 | G=T)=1/576","H2N1_T, H4N2_T, H1N3_T, H3N4_T",15
"983","c483","H4N2_T","H2N1_T","H3N3_T","H1N4_T","P(c483 | G=T)=1/576","H4N2_T, H2N1_T, H3N3_T, H1N4_T",16
"185","c165","H2N1_T","H3N4_T","H1N2_T","H4N3_T","P(c165 | G=T)=1/576","H2N1_T, H3N4_T, H1N2_T, H4N3_T",17
"152","c154","H2N1_T","H1N4_T","H3N3_T","H4N2_T","P(c154 | G=T)=1/576","H2N1_T, H1N4_T, H3N3_T, H4N2_T",18
"23","c108","H1N3_T","H4N4_T","H3N2_T","H2N1_T","P(c108 | G=T)=1/576","H1N3_T, H4N4_T, H3N2_T, H2N1_T",19
"96","c134","H1N4_T","H4N1_T","H2N3_T","H3N2_T","P(c134 | G=T)=1/576","H1N4_T, H4N1_T, H2N3_T, H3N2_T",20
"238","c183","H2N2_T","H1N1_T","H4N3_T","H3N4_T","P(c183 | G=T)=1/576","H2N2_T, H1N1_T, H4N3_T, H3N4_T",21
"204","c175","H2N1_T","H4N3_T","H3N2_T","H1N4_T","P(c175 | G=T)=1/576","H2N1_T, H4N3_T, H3N2_T, H1N4_T",22
"1307","c92","H1N3_T","H3N2_T","H4N4_T","H2N1_T","P(c92 | G=T)=1/576","H1N3_T, H3N2_T, H4N4_T, H2N1_T",23
"382","c24","H1N1_T","H3N4_T","H4N3_T","H2N2_T","P(c24 | G=T)=1/576","H1N1_T, H3N4_T, H4N3_T, H2N2_T",24
"80","c127","H1N4_T","H3N2_T","H4N1_T","H2N3_T","P(c127 | G=T)=1/576","H1N4_T, H3N2_T, H4N1_T, H2N3_T",25
"945","c467","H4N1_T","H3N4_T","H2N2_T","H1N3_T","P(c467 | G=T)=1/576","H4N1_T, H3N4_T, H2N2_T, H1N3_T",26
"545","c303","H3N1_T","H2N2_T","H4N3_T","H1N4_T","P(c303 | G=T)=1/576","H3N1_T, H2N2_T, H4N3_T, H1N4_T",27
"1076","c527","H4N3_T","H2N4_T","H3N1_T","H1N2_T","P(c527 | G=T)=1/576","H4N3_T, H2N4_T, H3N1_T, H1N2_T",28
"971","c479","H4N2_T","H1N4_T","H3N1_T","H2N3_T","P(c479 | G=T)=1/576","H4N2_T, H1N4_T, H3N1_T, H2N3_T",29
"447","c27","H1N1_T","H4N2_T","H3N3_T","H2N4_T","P(c27 | G=T)=1/576","H1N1_T, H4N2_T, H3N3_T, H2N4_T",30
"432","c263","H2N4_T","H1N3_T","H4N1_T","H3N2_T","P(c263 | G=T)=1/576","H2N4_T, H1N3_T, H4N1_T, H3N2_T",31
"149","c153","H2N1_T","H1N4_T","H3N2_T","H4N3_T","P(c153 | G=T)=1/576","H2N1_T, H1N4_T, H3N2_T, H4N3_T",32
"211","c176","H2N1_T","H4N3_T","H3N4_T","H1N2_T","P(c176 | G=T)=1/576","H2N1_T, H4N3_T, H3N4_T, H1N2_T",33
"509","c293","H3N1_T","H1N3_T","H2N2_T","H4N4_T","P(c293 | G=T)=1/576","H3N1_T, H1N3_T, H2N2_T, H4N4_T",34
"15","c105","H1N3_T","H4N4_T","H2N1_T","H3N2_T","P(c105 | G=T)=1/576","H1N3_T, H4N4_T, H2N1_T, H3N2_T",35
"874","c438","H4N1_T","H1N3_T","H2N4_T","H3N2_T","P(c438 | G=T)=1/576","H4N1_T, H1N3_T, H2N4_T, H3N2_T",36
